[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 7.027 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 27.390 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_name_pdf HTTP/1.1 [status]: 200 [response-time]: 0.400 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_name_pdf HTTP/1.1 [status]: 304 [response-time]: 8.985 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 200 [response-time]: 0.338 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 5.072 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 200 [response-time]: 0.407 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 304 [response-time]: 16.437 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 200 [response-time]: 0.374 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 304 [response-time]: 6.496 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 200 [response-time]: 0.342 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 38.521 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 30.743 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 200 [response-time]: 0.334 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 304 [response-time]: 7.048 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 304 [response-time]: 39.589 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 200 [response-time]: 0.339 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 3.419 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
